age,workclass,occupation,hours.per.week,income,age_groups,Education Level
34,Self-emp-not-inc,Farming-fishing,12,<=50K,31-40,School Level
45,Private,Transport-moving,45,<=50K,41-50,School Level
29,Private,Adm-clerical,40,<=50K,21-30,School Level
47,Private,Sales,52,<=50K,41-50,School Level
40,Private,Machine-op-inspct,40,<=50K,31-40,College Level
47,Self-emp-not-inc,Sales,50,<=50K,41-50,School Level
41,Self-emp-not-inc,Handlers-cleaners,40,<=50K,41-50,School Level
34,Private,Transport-moving,40,<=50K,31-40,College Level
65,Self-emp-not-inc,Exec-managerial,10,>50K,61-70,College Level
70,Private,Handlers-cleaners,40,>50K,61-70,School Level
75,Self-emp-not-inc,Prof-specialty,50,>50K,71-80,College Level
65,State-gov,Adm-clerical,40,>50K,61-70,School Level
65,Federal-gov,Exec-managerial,40,>50K,61-70,College Level
73,Private,Prof-specialty,50,>50K,71-80,College Level
68,Self-emp-not-inc,Prof-specialty,40,<=50K,61-70,Associate
74,Self-emp-not-inc,Sales,20,<=50K,71-80,School Level
19,Self-emp-not-inc,Craft-repair,55,<=50K,17-20,School Level
37,Self-emp-not-inc,Craft-repair,40,<=50K,31-40,School Level
45,Federal-gov,Adm-clerical,40,<=50K,41-50,Associate
64,Private,Prof-specialty,60,<=50K,61-70,Masters
30,Private,Transport-moving,40,<=50K,21-30,School Level
51,Self-emp-not-inc,Prof-specialty,60,<=50K,51-60,College Level
35,Private,Craft-repair,40,<=50K,31-40,School Level
29,Private,Adm-clerical,20,<=50K,21-30,School Level
34,Private,Adm-clerical,40,<=50K,31-40,College Level
41,Private,Craft-repair,60,<=50K,41-50,School Level
35,Private,Craft-repair,45,<=50K,31-40,College Level
26,Private,Adm-clerical,40,<=50K,21-30,College Level
54,Private,Transport-moving,50,<=50K,51-60,School Level
52,Local-gov,Craft-repair,40,<=50K,51-60,School Level
50,Self-emp-not-inc,Farming-fishing,20,<=50K,41-50,School Level
31,Private,Adm-clerical,40,<=50K,31-40,College Level
38,Federal-gov,Transport-moving,40,<=50K,31-40,School Level
30,Private,Craft-repair,40,<=50K,21-30,College Level
34,Local-gov,Prof-specialty,40,<=50K,31-40,College Level
31,Private,Sales,57,<=50K,31-40,College Level
52,Private,Machine-op-inspct,38,<=50K,51-60,School Level
54,Private,Craft-repair,40,<=50K,51-60,School Level
38,Private,Craft-repair,44,<=50K,31-40,School Level
39,Private,Machine-op-inspct,40,<=50K,31-40,School Level
29,Private,Tech-support,40,<=50K,21-30,Associate
45,Private,Craft-repair,40,<=50K,41-50,School Level
34,Private,Transport-moving,55,<=50K,31-40,School Level
38,Private,Craft-repair,40,<=50K,31-40,School Level
39,Private,Craft-repair,40,<=50K,31-40,School Level
61,Private,Craft-repair,20,<=50K,61-70,School Level
43,Private,Transport-moving,40,<=50K,41-50,School Level
35,Private,Handlers-cleaners,40,<=50K,31-40,College Level
46,Private,Sales,50,<=50K,41-50,College Level
38,Private,Handlers-cleaners,40,<=50K,31-40,School Level
42,Self-emp-not-inc,Craft-repair,48,<=50K,41-50,School Level
34,Private,Tech-support,10,<=50K,31-40,Associate
29,Private,Farming-fishing,40,<=50K,21-30,School Level
32,Private,Craft-repair,30,<=50K,31-40,School Level
60,Private,Protective-serv,34,<=50K,51-60,School Level
49,Local-gov,Craft-repair,40,<=50K,41-50,School Level
53,Local-gov,Other-service,45,<=50K,51-60,School Level
56,Private,Handlers-cleaners,40,<=50K,51-60,School Level
48,Private,Transport-moving,40,<=50K,41-50,School Level
32,Federal-gov,Prof-specialty,40,<=50K,31-40,College Level
42,Self-emp-not-inc,Craft-repair,40,<=50K,41-50,School Level
32,Private,Prof-specialty,42,<=50K,31-40,Associate
28,Local-gov,Protective-serv,40,<=50K,21-30,Associate
26,Private,Craft-repair,40,<=50K,21-30,Associate
59,Private,Exec-managerial,50,<=50K,51-60,College Level
47,Self-emp-not-inc,Prof-specialty,30,<=50K,41-50,College Level
41,Private,Craft-repair,60,<=50K,41-50,School Level
36,Private,Craft-repair,40,<=50K,31-40,School Level
45,Private,Sales,55,<=50K,41-50,College Level
30,Private,Prof-specialty,40,<=50K,21-30,Associate
36,Private,Transport-moving,40,<=50K,31-40,School Level
34,Self-emp-inc,Exec-managerial,40,<=50K,31-40,School Level
53,Private,Transport-moving,40,<=50K,51-60,School Level
51,Private,Sales,45,<=50K,51-60,School Level
47,Self-emp-not-inc,Transport-moving,45,<=50K,41-50,Masters
30,Private,Adm-clerical,42,<=50K,21-30,School Level
20,Private,Other-service,40,<=50K,17-20,School Level
42,Federal-gov,Adm-clerical,60,<=50K,41-50,Masters
31,Private,Craft-repair,40,<=50K,31-40,School Level
33,Private,Handlers-cleaners,40,<=50K,31-40,College Level
25,Private,Tech-support,30,<=50K,21-30,Associate
20,Private,Other-service,40,<=50K,17-20,School Level
23,Private,Adm-clerical,40,<=50K,21-30,School Level
41,Self-emp-not-inc,Craft-repair,50,<=50K,41-50,College Level
54,Self-emp-not-inc,Craft-repair,35,<=50K,51-60,School Level
25,Private,Craft-repair,50,<=50K,21-30,School Level
19,Private,Adm-clerical,40,<=50K,17-20,College Level
24,Private,Adm-clerical,37,<=50K,21-30,School Level
56,Federal-gov,Transport-moving,65,<=50K,51-60,College Level
21,Local-gov,Other-service,40,<=50K,17-20,College Level
34,Private,Machine-op-inspct,40,<=50K,31-40,School Level
19,Private,Adm-clerical,40,<=50K,17-20,School Level
48,Private,Adm-clerical,40,<=50K,41-50,School Level
34,Private,Other-service,40,<=50K,31-40,College Level
31,Private,Farming-fishing,40,<=50K,31-40,School Level
36,Private,Other-service,40,<=50K,31-40,School Level
27,Private,Other-service,40,<=50K,21-30,School Level
27,Private,Craft-repair,40,<=50K,21-30,College Level
35,Private,Sales,65,<=50K,31-40,College Level
31,Self-emp-not-inc,Exec-managerial,60,<=50K,31-40,College Level
27,Federal-gov,Craft-repair,40,<=50K,21-30,School Level
28,Local-gov,Adm-clerical,40,<=50K,21-30,Associate
42,Private,Transport-moving,46,<=50K,41-50,School Level
44,Private,Exec-managerial,45,<=50K,41-50,College Level
41,Private,Sales,56,<=50K,41-50,College Level
28,Private,Tech-support,35,<=50K,21-30,College Level
41,Federal-gov,Adm-clerical,40,<=50K,41-50,School Level
35,Private,Other-service,40,<=50K,31-40,School Level
58,Private,Adm-clerical,45,<=50K,51-60,Masters
40,Private,Machine-op-inspct,48,<=50K,31-40,School Level
31,Private,Transport-moving,60,<=50K,31-40,Associate
30,Private,Sales,40,<=50K,21-30,School Level
32,Private,Tech-support,40,<=50K,31-40,College Level
25,Private,Adm-clerical,40,<=50K,21-30,College Level
34,Private,Transport-moving,40,<=50K,31-40,School Level
56,Private,Exec-managerial,40,<=50K,51-60,College Level
45,Private,Other-service,40,<=50K,41-50,School Level
50,Private,Adm-clerical,40,<=50K,41-50,School Level
27,Private,Sales,40,<=50K,21-30,School Level
51,Private,Sales,40,>50K,51-60,College Level
40,Private,Tech-support,60,>50K,31-40,Associate
41,Private,Exec-managerial,65,>50K,41-50,Masters
49,Private,Exec-managerial,45,>50K,41-50,Masters
37,Private,Craft-repair,40,>50K,31-40,Associate
36,Self-emp-inc,Exec-managerial,45,>50K,31-40,College Level
29,Self-emp-inc,Sales,25,>50K,21-30,School Level
50,Private,Prof-specialty,40,>50K,41-50,College Level
46,Private,Sales,40,>50K,41-50,College Level
44,Self-emp-not-inc,Exec-managerial,45,>50K,41-50,School Level
42,Local-gov,Exec-managerial,40,>50K,41-50,Masters
38,Federal-gov,Prof-specialty,50,>50K,31-40,College Level
45,Private,Exec-managerial,55,>50K,41-50,College Level
43,Local-gov,Exec-managerial,60,>50K,41-50,Masters
47,Self-emp-inc,Prof-specialty,60,>50K,41-50,College Level
58,Self-emp-inc,Prof-specialty,50,>50K,51-60,College Level
48,Private,Tech-support,40,>50K,41-50,College Level
42,Local-gov,Exec-managerial,48,>50K,41-50,College Level
55,Private,Exec-managerial,50,>50K,51-60,Masters
51,Private,Sales,40,>50K,51-60,School Level
32,Private,Exec-managerial,40,>50K,31-40,Masters
45,Local-gov,Exec-managerial,50,>50K,41-50,College Level
56,Private,Craft-repair,44,>50K,51-60,Masters
38,Private,Exec-managerial,60,>50K,31-40,Masters
45,Private,Sales,50,>50K,41-50,Associate
49,Private,Prof-specialty,40,>50K,41-50,Masters
36,Private,Prof-specialty,40,>50K,31-40,School Level
49,Private,Exec-managerial,40,>50K,41-50,Masters
30,Private,Prof-specialty,40,>50K,21-30,Masters
42,Self-emp-inc,Prof-specialty,50,>50K,41-50,College Level
55,Private,Exec-managerial,40,>50K,51-60,Masters
34,Private,Exec-managerial,45,>50K,31-40,College Level
54,Private,Prof-specialty,50,>50K,51-60,Masters
42,Self-emp-not-inc,Exec-managerial,70,>50K,41-50,College Level
25,Local-gov,Prof-specialty,40,>50K,21-30,College Level
55,Self-emp-inc,Exec-managerial,45,>50K,51-60,School Level
58,State-gov,Prof-specialty,50,>50K,51-60,Masters
62,Private,Transport-moving,60,>50K,61-70,School Level
43,Self-emp-inc,Prof-specialty,40,>50K,41-50,College Level
57,Local-gov,Prof-specialty,40,>50K,51-60,Masters
42,Self-emp-inc,Prof-specialty,60,>50K,41-50,Masters
63,Self-emp-not-inc,Prof-specialty,32,>50K,61-70,College Level
47,Self-emp-not-inc,Prof-specialty,50,>50K,41-50,College Level
37,Private,Exec-managerial,50,>50K,31-40,College Level
40,Private,Sales,60,>50K,31-40,College Level
43,Private,Prof-specialty,50,>50K,41-50,College Level
43,State-gov,Prof-specialty,70,>50K,41-50,College Level
41,Self-emp-not-inc,Prof-specialty,60,>50K,41-50,College Level
32,Private,Prof-specialty,60,>50K,31-40,College Level
47,Private,Sales,40,>50K,41-50,College Level
39,Federal-gov,Handlers-cleaners,60,>50K,31-40,College Level
53,Private,Exec-managerial,40,>50K,51-60,College Level
34,Private,Exec-managerial,45,>50K,31-40,College Level
36,Private,Exec-managerial,40,>50K,31-40,College Level
47,Local-gov,Exec-managerial,41,>50K,41-50,Masters
52,Private,Exec-managerial,45,>50K,51-60,Associate
40,Self-emp-not-inc,Prof-specialty,60,>50K,31-40,College Level
42,Self-emp-inc,Prof-specialty,40,>50K,41-50,College Level
51,Private,Protective-serv,40,>50K,51-60,Masters
55,Private,Tech-support,20,>50K,51-60,Masters
52,Private,Exec-managerial,50,>50K,51-60,College Level
60,Federal-gov,Tech-support,40,>50K,51-60,School Level
55,Private,Prof-specialty,50,>50K,51-60,Associate
47,Local-gov,Exec-managerial,50,>50K,41-50,Masters
46,Private,Tech-support,40,>50K,41-50,Masters
35,Private,Prof-specialty,45,>50K,31-40,Masters
59,Self-emp-inc,Exec-managerial,50,>50K,51-60,College Level
57,Private,Prof-specialty,45,>50K,51-60,Masters
46,Private,Prof-specialty,50,>50K,41-50,College Level
46,Federal-gov,Exec-managerial,40,>50K,41-50,Masters
52,Private,Craft-repair,40,>50K,51-60,School Level
45,Private,Prof-specialty,30,>50K,41-50,Masters
37,Private,Tech-support,40,>50K,31-40,College Level
46,Private,Exec-managerial,45,>50K,41-50,Masters
44,Private,Prof-specialty,50,>50K,41-50,College Level
45,Private,Exec-managerial,50,>50K,41-50,Associate
43,Private,Machine-op-inspct,52,>50K,41-50,School Level
54,Local-gov,Prof-specialty,40,>50K,51-60,Masters
50,Private,Prof-specialty,40,>50K,41-50,Masters
45,Private,Prof-specialty,40,>50K,41-50,College Level
36,Private,Prof-specialty,60,>50K,31-40,Masters
27,Private,Exec-managerial,50,>50K,21-30,College Level
36,Private,Sales,35,>50K,31-40,College Level
53,Private,Exec-managerial,55,>50K,51-60,Masters
51,Local-gov,Prof-specialty,35,>50K,51-60,Masters
28,Private,Prof-specialty,24,>50K,21-30,College Level
47,Self-emp-not-inc,Craft-repair,40,>50K,41-50,College Level
45,Private,Exec-managerial,60,>50K,41-50,College Level
45,Local-gov,Prof-specialty,35,>50K,41-50,Masters
39,Self-emp-not-inc,Prof-specialty,50,>50K,31-40,College Level
39,Private,Exec-managerial,40,>50K,31-40,College Level
55,Self-emp-not-inc,Prof-specialty,40,>50K,51-60,Masters
49,Private,Sales,50,>50K,41-50,College Level
53,Self-emp-not-inc,Exec-managerial,40,>50K,51-60,Masters
31,Private,Exec-managerial,48,>50K,31-40,Masters
42,Self-emp-inc,Exec-managerial,60,>50K,41-50,School Level
39,Private,Transport-moving,45,>50K,31-40,College Level
60,Self-emp-not-inc,Exec-managerial,45,>50K,51-60,College Level
26,Private,Prof-specialty,40,>50K,21-30,College Level
37,Private,Exec-managerial,40,>50K,31-40,Masters
45,State-gov,Exec-managerial,60,>50K,41-50,College Level
37,Private,Sales,45,>50K,31-40,Associate
32,Private,Sales,45,>50K,31-40,College Level
39,Self-emp-inc,Exec-managerial,40,>50K,31-40,School Level
45,Private,Exec-managerial,43,>50K,41-50,Masters
41,Private,Prof-specialty,45,>50K,41-50,College Level
36,Self-emp-not-inc,Farming-fishing,65,>50K,31-40,School Level
51,State-gov,Prof-specialty,60,>50K,51-60,Masters
39,Private,Exec-managerial,62,>50K,31-40,College Level
56,Self-emp-not-inc,Prof-specialty,50,>50K,51-60,College Level
53,Federal-gov,Adm-clerical,40,>50K,51-60,School Level
40,Self-emp-not-inc,Prof-specialty,15,>50K,31-40,Associate
57,Private,Exec-managerial,40,>50K,51-60,Masters
50,Local-gov,Craft-repair,35,>50K,41-50,School Level
34,Private,Prof-specialty,55,>50K,31-40,College Level
35,Private,Exec-managerial,30,>50K,31-40,College Level
30,Self-emp-not-inc,Prof-specialty,15,>50K,21-30,School Level
53,Local-gov,Prof-specialty,55,>50K,51-60,Masters
31,State-gov,Prof-specialty,70,>50K,31-40,Masters
37,Private,Exec-managerial,60,>50K,31-40,College Level
34,Private,Sales,50,>50K,31-40,College Level
36,Private,Prof-specialty,50,>50K,31-40,Masters
40,Private,Exec-managerial,50,>50K,31-40,College Level
51,Private,Craft-repair,60,>50K,51-60,College Level
33,Private,Sales,45,>50K,31-40,School Level
40,Private,Prof-specialty,20,>50K,31-40,Masters
46,Self-emp-inc,Sales,60,>50K,41-50,Masters
54,Private,Exec-managerial,50,>50K,51-60,Masters
39,Private,Prof-specialty,24,>50K,31-40,Masters
54,Self-emp-inc,Sales,40,>50K,51-60,College Level
51,Private,Exec-managerial,50,>50K,51-60,Masters
36,Private,Adm-clerical,40,>50K,31-40,Masters
41,Self-emp-inc,Exec-managerial,60,>50K,41-50,College Level
56,Self-emp-not-inc,Exec-managerial,50,>50K,51-60,College Level
38,Private,Tech-support,40,>50K,31-40,College Level
47,Private,Craft-repair,45,>50K,41-50,School Level
39,Local-gov,Prof-specialty,45,>50K,31-40,Masters
59,Private,Exec-managerial,50,>50K,51-60,College Level
54,Private,Exec-managerial,43,>50K,51-60,Masters
54,Self-emp-not-inc,Exec-managerial,35,>50K,51-60,College Level
31,Private,Exec-managerial,55,>50K,31-40,College Level
59,Self-emp-inc,Exec-managerial,48,>50K,51-60,College Level
46,Private,Prof-specialty,50,>50K,41-50,Masters
57,Private,Tech-support,40,>50K,51-60,Masters
36,Private,Prof-specialty,44,>50K,31-40,Masters
44,Private,Machine-op-inspct,40,>50K,41-50,College Level
33,Private,Prof-specialty,50,>50K,31-40,College Level
54,Private,Tech-support,18,>50K,51-60,College Level
55,Private,Exec-managerial,60,>50K,51-60,Masters
36,Private,Sales,50,>50K,31-40,Masters
49,Local-gov,Prof-specialty,60,>50K,41-50,College Level
41,Private,Prof-specialty,50,>50K,41-50,College Level
40,Private,Prof-specialty,45,>50K,31-40,Masters
43,Private,Exec-managerial,50,>50K,41-50,College Level
39,Local-gov,Prof-specialty,20,>50K,31-40,Masters
48,Private,Prof-specialty,45,>50K,41-50,College Level
43,Private,Exec-managerial,50,>50K,41-50,College Level
36,Private,Prof-specialty,45,>50K,31-40,College Level
39,Private,Exec-managerial,40,<=50K,31-40,Masters
21,Private,Prof-specialty,40,<=50K,17-20,College Level
23,Private,Sales,40,<=50K,21-30,College Level
47,Private,Exec-managerial,40,<=50K,41-50,School Level
30,Private,Adm-clerical,40,<=50K,21-30,School Level
35,Private,Machine-op-inspct,40,<=50K,31-40,College Level
26,Private,Adm-clerical,40,<=50K,21-30,College Level
26,Private,Exec-managerial,55,<=50K,21-30,College Level
41,Local-gov,Prof-specialty,40,<=50K,41-50,Masters
30,Local-gov,Protective-serv,40,<=50K,21-30,College Level
28,Private,Craft-repair,40,<=50K,21-30,School Level
56,Private,Sales,40,<=50K,51-60,School Level
35,Private,Machine-op-inspct,40,<=50K,31-40,School Level
34,Private,Tech-support,40,<=50K,31-40,Associate
29,Private,Craft-repair,35,<=50K,21-30,School Level
23,Private,Adm-clerical,20,<=50K,21-30,Associate
